,sample_id,experiment_id,yml_file,data_file
0,RxnA_201602_1455306639,RxnA_201602,A_272C_0212115023_0001.yml,A_272C_0212115023_0001_dz_bgsub.dat
1,RxnA_201602_1455306307,RxnA_201602,A_230C_0212114451_0001.yml,A_230C_0212114451_0001_dz_bgsub.dat
2,RxnA_201602_1455307829,RxnA_201602,A_280C_14min_0212121013_0001.yml,A_280C_14min_0212121013_0001_dz_bgsub.dat
3,RxnA_201602_1455307768,RxnA_201602,A_280C_13min_0212120912_0001.yml,A_280C_13min_0212120912_0001_dz_bgsub.dat
4,RxnA_201602_1455307471,RxnA_201602,A_280C_8min_0212120415_0001.yml,A_280C_8min_0212120415_0001_dz_bgsub.dat
5,RxnA_201602_1455306917,RxnA_201602,A_280C_0212115500_0001.yml,A_280C_0212115500_0001_dz_bgsub.dat
6,RxnA_201602_1455306590,RxnA_201602,A_269C_0212114933_0001.yml,A_269C_0212114933_0001_dz_bgsub.dat
7,RxnA_201602_1455307884,RxnA_201602,A_280C_15min_0212121107_0001.yml,A_280C_15min_0212121107_0001_dz_bgsub.dat
8,RxnA_201602_1455307408,RxnA_201602,A_280C_7min_0212120311_0001.yml,A_280C_7min_0212120311_0001_dz_bgsub.dat
9,RxnA_201602_1455304936,RxnA_201602,A_60C_20_min_0212112139_0001.yml,A_60C_20_min_0212112139_0001_dz_bgsub.dat
10,RxnA_201602_1455306206,RxnA_201602,A_200C_0212114309_0001.yml,A_200C_0212114309_0001_dz_bgsub.dat
11,RxnA_201602_1455304815,RxnA_201602,A_60C_20_min_0212111939_0001.yml,A_60C_20_min_0212111939_0001_dz_bgsub.dat
12,RxnA_201602_1455304023,RxnA_201602,A_60C_5_min_0212110637_0001.yml,A_60C_5_min_0212110637_0001_dz_bgsub.dat
13,RxnA_201602_1455303325,RxnA_201602,A_40C_0212105458_0001.yml,A_40C_0212105458_0001_dz_bgsub.dat
14,RxnA_201602_1455306181,RxnA_201602,A_190C_0212114245_0001.yml,A_190C_0212114245_0001_dz_bgsub.dat
15,RxnA_201602_1455306273,RxnA_201602,A_220C_0212114417_0001.yml,A_220C_0212114417_0001_dz_bgsub.dat
16,RxnA_201602_1455304972,RxnA_201602,A_60C_20_min_0212112139_0002.yml,A_60C_20_min_0212112139_0002_dz_bgsub.dat
17,RxnA_201602_1455306698,RxnA_201602,A_276C_0212115122_0001.yml,A_276C_0212115122_0001_dz_bgsub.dat
18,RxnA_201602_1455306471,RxnA_201602,A_260C_0212114734_0001.yml,A_260C_0212114734_0001_dz_bgsub.dat
19,RxnA_201602_1455307232,RxnA_201602,A_280C_4min_0212120016_0001.yml,A_280C_4min_0212120016_0001_dz_bgsub.dat
20,RxnA_201602_1455305550,RxnA_201602,A_60C_30_min_0212113118_0002.yml,A_60C_30_min_0212113118_0002_dz_bgsub.dat
