,sample_id,experiment_id,yml_file,data_file
0,R1_201811_1541516380,R1_201811,randomized_goal31_xrsd_system.yml,randomized_goal31_dz_bgsub.dat
1,R1_201811_1541463535,R1_201811,randomized_goal0_xrsd_system.yml,randomized_goal0_dz_bgsub.dat
2,R1_201811_1541519777,R1_201811,randomized_goal33_xrsd_system.yml,randomized_goal33_dz_bgsub.dat
3,R1_201811_1541495916,R1_201811,randomized_goal19_xrsd_system.yml,randomized_goal19_dz_bgsub.dat
4,R1_201811_1541499320,R1_201811,randomized_goal21_xrsd_system.yml,randomized_goal21_dz_bgsub.dat
5,R1_201811_1541482311,R1_201811,randomized_goal11_xrsd_system.yml,randomized_goal11_dz_bgsub.dat
6,R1_201811_1541489126,R1_201811,randomized_goal15_xrsd_system.yml,randomized_goal15_dz_bgsub.dat
7,R1_201811_1541502764,R1_201811,randomized_goal23_xrsd_system.yml,randomized_goal23_dz_bgsub.dat
8,R1_201811_1541492523,R1_201811,randomized_goal17_xrsd_system.yml,randomized_goal17_dz_bgsub.dat
9,R1_201811_1541511275,R1_201811,randomized_goal28_xrsd_system.yml,randomized_goal28_dz_bgsub.dat
10,R1_201811_1541466983,R1_201811,randomized_goal2_xrsd_system.yml,randomized_goal2_dz_bgsub.dat
11,R1_201811_1541478886,R1_201811,randomized_goal9_xrsd_system.yml,randomized_goal9_dz_bgsub.dat
12,R1_201811_1541477202,R1_201811,randomized_goal8_xrsd_system.yml,randomized_goal8_dz_bgsub.dat
13,R1_201811_1541518092,R1_201811,randomized_goal32_xrsd_system.yml,randomized_goal32_dz_bgsub.dat
14,R1_201811_1541501080,R1_201811,randomized_goal22_xrsd_system.yml,randomized_goal22_dz_bgsub.dat
15,R1_201811_1541473812,R1_201811,randomized_goal6_xrsd_system.yml,randomized_goal6_dz_bgsub.dat
16,R1_201811_1541484017,R1_201811,randomized_goal12_xrsd_system.yml,randomized_goal12_dz_bgsub.dat
17,R1_201811_1541468675,R1_201811,randomized_goal3_xrsd_system.yml,randomized_goal3_dz_bgsub.dat
18,R1_201811_1541514684,R1_201811,randomized_goal30_xrsd_system.yml,randomized_goal30_dz_bgsub.dat
19,R1_201811_1541465229,R1_201811,randomized_goal1_xrsd_system.yml,randomized_goal1_dz_bgsub.dat
20,R1_201811_1541485712,R1_201811,randomized_goal13_xrsd_system.yml,randomized_goal13_dz_bgsub.dat
21,R1_201811_1541472103,R1_201811,randomized_goal5_xrsd_system.yml,randomized_goal5_dz_bgsub.dat
22,R1_201811_1541490839,R1_201811,randomized_goal16_xrsd_system.yml,randomized_goal16_dz_bgsub.dat
23,R1_201811_1541507869,R1_201811,randomized_goal26_xrsd_system.yml,randomized_goal26_dz_bgsub.dat
24,R1_201811_1541494234,R1_201811,randomized_goal18_xrsd_system.yml,randomized_goal18_dz_bgsub.dat
25,R1_201811_1541470422,R1_201811,randomized_goal4_xrsd_system.yml,randomized_goal4_dz_bgsub.dat
26,R1_201811_1541475495,R1_201811,randomized_goal7_xrsd_system.yml,randomized_goal7_dz_bgsub.dat
27,R1_201811_1541509565,R1_201811,randomized_goal27_xrsd_system.yml,randomized_goal27_dz_bgsub.dat
28,R1_201811_1541487419,R1_201811,randomized_goal14_xrsd_system.yml,randomized_goal14_dz_bgsub.dat
29,R1_201811_1541506155,R1_201811,randomized_goal25_xrsd_system.yml,randomized_goal25_dz_bgsub.dat
30,R1_201811_1541480597,R1_201811,randomized_goal10_xrsd_system.yml,randomized_goal10_dz_bgsub.dat
31,R1_201811_1541504473,R1_201811,randomized_goal24_xrsd_system.yml,randomized_goal24_dz_bgsub.dat
32,R1_201811_1541497627,R1_201811,randomized_goal20_xrsd_system.yml,randomized_goal20_dz_bgsub.dat
33,R1_201811_1541512972,R1_201811,randomized_goal29_xrsd_system.yml,randomized_goal29_dz_bgsub.dat
34,R4_20190417_1555784916,R4_20190417,R4_20190417_0_xrsd_system.yml,R4_20190417_0_dz_bgsub.dat
35,R4_20190417_1555835064,R4_20190417,R4_20190417_5_xrsd_system.yml,R4_20190417_5_dz_bgsub.dat
36,R4_20190417_1555856926,R4_20190417,R4_20190417_9_xrsd_system.yml,R4_20190417_9_dz_bgsub.dat
37,R4_20190417_1555788973,R4_20190417,R4_20190417_3_xrsd_system.yml,R4_20190417_3_dz_bgsub.dat
38,R4_20190417_1555851373,R4_20190417,R4_20190417_8_xrsd_system.yml,R4_20190417_8_dz_bgsub.dat
39,R4_20190417_1555840481,R4_20190417,R4_20190417_6_xrsd_system.yml,R4_20190417_6_dz_bgsub.dat
40,R4_20190417_1555830093,R4_20190417,R4_20190417_4_xrsd_system.yml,R4_20190417_4_dz_bgsub.dat
41,R4_20190417_1555964282,R4_20190417,R4_20190417_10_xrsd_system.yml,R4_20190417_10_dz_bgsub.dat
42,R4_20190417_1555786107,R4_20190417,R4_20190417_1_xrsd_system.yml,R4_20190417_1_dz_bgsub.dat
43,R4_20190417_1555845971,R4_20190417,R4_20190417_7_xrsd_system.yml,R4_20190417_7_dz_bgsub.dat
44,R4_20190417_1555787305,R4_20190417,R4_20190417_2_xrsd_system.yml,R4_20190417_2_dz_bgsub.dat
45,RxnB_20190329_1554092743,RxnB_20190329,RxnB_20190329_22_xrsd_system.yml,RxnB_20190329_22_dz_bgsub.dat
46,RxnB_20190329_1554111327,RxnB_20190329,RxnB_20190329_26_xrsd_system.yml,RxnB_20190329_26_dz_bgsub.dat
47,RxnB_20190329_1554087010,RxnB_20190329,RxnB_20190329_20_xrsd_system.yml,RxnB_20190329_20_dz_bgsub.dat
48,RxnB_20190329_1554124920,RxnB_20190329,RxnB_20190329_29_xrsd_system.yml,RxnB_20190329_29_dz_bgsub.dat
49,RxnB_20190329_1554022504,RxnB_20190329,RxnB_20190329_5_xrsd_system.yml,RxnB_20190329_5_dz_bgsub.dat
50,RxnB_20190329_1554106952,RxnB_20190329,RxnB_20190329_25_xrsd_system.yml,RxnB_20190329_25_dz_bgsub.dat
51,RxnB_20190329_1554089770,RxnB_20190329,RxnB_20190329_21_xrsd_system.yml,RxnB_20190329_21_dz_bgsub.dat
52,RxnB_20190329_1554057588,RxnB_20190329,RxnB_20190329_13_xrsd_system.yml,RxnB_20190329_13_dz_bgsub.dat
