,experiment_id,sample_id,system_class,system_class_xval,diffuse_binary,disordered_binary,crystalline_binary,diffuse_binary_xval,diffuse_binary_pr,disordered_binary_xval,disordered_binary_pr,crystalline_binary_xval,crystalline_binary_pr
358,,,crystalline,crystalline,False,False,True,False,False,False,False,True,True
352,,,crystalline,crystalline,False,False,True,False,False,False,False,True,True
419,,,crystalline,crystalline,False,False,True,False,False,False,False,True,True
1495,,,crystalline,crystalline,False,False,True,False,False,False,False,True,True
397,,,crystalline,crystalline,False,False,True,False,False,False,False,True,True
1485,,,crystalline,crystalline,False,False,True,False,False,False,False,True,True
395,,,crystalline,crystalline,False,False,True,False,False,False,False,True,True
400,,,crystalline,crystalline,False,False,True,False,False,False,False,True,True
1418,,,crystalline,crystalline,False,False,True,False,False,False,False,True,True
1437,,,crystalline,crystalline,False,False,True,False,False,False,False,True,True
412,,,crystalline,crystalline,False,False,True,False,False,False,False,True,True
364,,,crystalline,crystalline,False,False,True,False,False,False,False,True,True
693,,,diffuse,diffuse__diffuse,True,False,False,True,True,False,False,False,False
695,,,diffuse,diffuse,True,False,False,True,True,False,False,False,False
1227,,,diffuse,diffuse,True,False,False,True,True,False,False,False,False
1238,,,diffuse,diffuse,True,False,False,True,True,False,False,False,False
1828,,,diffuse,diffuse,True,False,False,True,True,False,False,False,False
1802,,,diffuse,diffuse,True,False,False,True,True,False,False,False,False
1296,,,diffuse,diffuse__diffuse,True,False,False,True,True,False,False,False,False
1815,,,diffuse,diffuse,True,False,False,True,True,False,False,False,False
1404,,,diffuse,diffuse__diffuse,True,False,False,True,True,False,False,False,False
1368,,,diffuse,diffuse,True,False,False,True,True,False,False,False,False
701,,,diffuse,diffuse,True,False,False,True,True,False,False,False,False
1801,,,diffuse,unidentified,True,False,False,False,False,False,False,False,False
1816,,,diffuse,diffuse,True,False,False,True,True,False,False,False,False
692,,,diffuse,diffuse,True,False,False,True,True,False,False,False,False
718,,,diffuse,diffuse,True,False,False,True,True,False,False,False,False
1850,,,diffuse,diffuse__diffuse,True,False,False,True,True,False,False,False,False
706,,,diffuse,diffuse,True,False,False,True,True,False,False,False,False
1862,,,diffuse,diffuse,True,False,False,True,True,False,False,False,False
1854,,,diffuse,diffuse,True,False,False,True,True,False,False,False,False
697,,,diffuse,diffuse,True,False,False,True,True,False,False,False,False
714,,,diffuse,diffuse,True,False,False,True,True,False,False,False,False
704,,,diffuse,diffuse,True,False,False,True,True,False,False,False,False
691,,,diffuse,diffuse,True,False,False,True,True,False,False,False,False
702,,,diffuse,diffuse,True,False,False,True,True,False,False,False,False
1278,,,diffuse,diffuse,True,False,False,True,True,False,False,False,False
715,,,diffuse,diffuse,True,False,False,True,True,False,False,False,False
713,,,diffuse,diffuse,True,False,False,True,True,False,False,False,False
707,,,diffuse,diffuse,True,False,False,True,True,False,False,False,False
705,,,diffuse,diffuse,True,False,False,True,True,False,False,False,False
712,,,diffuse,diffuse,True,False,False,True,True,False,False,False,False
694,,,diffuse,diffuse,True,False,False,True,True,False,False,False,False
698,,,diffuse,diffuse,True,False,False,True,True,False,False,False,False
716,,,diffuse,diffuse,True,False,False,True,True,False,False,False,False
1266,,,diffuse,diffuse,True,False,False,True,True,False,False,False,False
699,,,diffuse,diffuse,True,False,False,True,True,False,False,False,False
1374,,,diffuse,diffuse,True,False,False,True,True,False,False,False,False
720,,,diffuse,diffuse,True,False,False,True,True,False,False,False,False
709,,,diffuse,diffuse,True,False,False,True,True,False,False,False,False
700,,,diffuse,diffuse,True,False,False,True,True,False,False,False,False
711,,,diffuse,diffuse,True,False,False,True,True,False,False,False,False
717,,,diffuse,diffuse,True,False,False,True,True,False,False,False,False
1398,,,diffuse,diffuse,True,False,False,True,True,False,False,False,False
1803,,,diffuse,diffuse__diffuse,True,False,False,True,True,False,False,False,False
696,,,diffuse__diffuse,diffuse__diffuse,True,False,False,True,True,False,False,False,False
703,,,diffuse__diffuse,diffuse,True,False,False,True,True,False,False,False,False
710,,,diffuse__diffuse,diffuse__diffuse,True,False,False,True,True,True,False,False,False
721,,,diffuse__diffuse__crystalline,diffuse__diffuse__crystalline,True,False,True,False,True,False,False,True,True
731,,,diffuse__diffuse__crystalline,diffuse__diffuse__crystalline,True,False,True,False,True,False,False,True,True
734,,,diffuse__diffuse__crystalline,diffuse__diffuse__crystalline,True,False,True,False,True,False,False,True,True
736,,,diffuse__diffuse__crystalline,diffuse__diffuse__crystalline,True,False,True,False,True,False,False,True,True
756,,,diffuse__diffuse__crystalline,diffuse__diffuse__crystalline,True,False,True,False,True,False,False,True,True
762,,,diffuse__diffuse__crystalline,diffuse__diffuse__crystalline,True,False,True,False,True,False,False,True,True
763,,,diffuse__diffuse__crystalline,diffuse__diffuse__crystalline,True,False,True,False,True,False,False,True,True
770,,,diffuse__diffuse__crystalline,diffuse__diffuse__crystalline,True,False,True,False,True,False,False,True,True
1084,,,diffuse__disordered__crystalline,diffuse__disordered__crystalline,True,True,True,False,True,True,True,True,True
1069,,,diffuse__disordered__crystalline,diffuse__disordered__crystalline,True,True,True,False,True,True,True,True,True
1140,,,diffuse__disordered__crystalline,diffuse__disordered__crystalline,True,True,True,False,True,True,True,True,True
1117,,,diffuse__disordered__crystalline,diffuse__disordered__crystalline,True,True,True,False,True,True,True,True,True
1138,,,diffuse__disordered__crystalline,diffuse__disordered__crystalline,True,True,True,False,True,True,True,True,True
1122,,,diffuse__disordered__crystalline,diffuse__disordered__crystalline,True,True,True,False,True,True,True,True,True
1120,,,diffuse__disordered__crystalline,diffuse__disordered__crystalline,True,True,True,False,True,True,True,True,True
1081,,,diffuse__disordered__crystalline,diffuse__disordered__crystalline,True,True,True,False,True,True,True,True,True
1070,,,diffuse__disordered__crystalline,diffuse__disordered__crystalline,True,True,True,False,True,True,True,True,True
1110,,,diffuse__disordered__crystalline,diffuse__disordered__crystalline,True,True,True,False,True,True,True,True,True
1067,,,diffuse__disordered__crystalline,diffuse__disordered__crystalline,True,True,True,False,True,True,True,True,True
1086,,,diffuse__disordered__crystalline,diffuse__disordered__crystalline,True,True,True,False,True,True,True,True,True
1072,,,diffuse__disordered__crystalline,diffuse__disordered__crystalline,True,True,True,False,True,True,True,True,True
1115,,,diffuse__disordered__crystalline,diffuse__disordered__crystalline,True,True,True,False,True,True,True,True,True
1135,,,diffuse__disordered__crystalline,diffuse__disordered__crystalline,True,True,True,False,True,True,True,True,True
1102,,,diffuse__disordered__crystalline,diffuse__disordered__crystalline,True,True,True,False,True,True,True,True,True
1137,,,diffuse__disordered__crystalline,diffuse__disordered__crystalline,True,True,True,False,True,True,True,True,True
1089,,,diffuse__disordered__crystalline,diffuse__disordered__crystalline,True,True,True,False,True,True,True,True,True
1064,,,diffuse__disordered__crystalline,diffuse__disordered__crystalline,True,True,True,False,True,True,True,True,True
1065,,,diffuse__disordered__crystalline,diffuse__disordered__crystalline,True,True,True,False,True,True,True,True,True
1088,,,diffuse__disordered__crystalline,diffuse__disordered__crystalline,True,True,True,False,True,True,True,True,True
1083,,,diffuse__disordered__crystalline,diffuse__disordered__crystalline,True,True,True,False,True,True,True,True,True
1118,,,diffuse__disordered__crystalline,diffuse__disordered__crystalline,True,True,True,False,True,True,True,True,True
1074,,,disordered__disordered__crystalline,disordered__disordered__crystalline,False,True,True,False,False,True,True,True,True
1076,,,disordered__disordered__crystalline,disordered__disordered__crystalline,False,True,True,True,False,True,True,True,True
1096,,,disordered__disordered__crystalline,disordered__disordered__crystalline,False,True,True,True,False,True,True,True,True
1098,,,disordered__disordered__crystalline,disordered__disordered__crystalline,False,True,True,True,False,False,True,True,True
1109,,,disordered__disordered__crystalline,disordered__disordered__crystalline,False,True,True,True,False,True,True,True,True
1112,,,disordered__disordered__crystalline,disordered__disordered__crystalline,False,True,True,True,False,True,True,True,True
1130,,,disordered__disordered__crystalline,disordered__disordered__crystalline,False,True,True,False,False,True,True,True,True
1132,,,disordered__disordered__crystalline,disordered__disordered__crystalline,False,True,True,True,False,True,True,True,True
1142,,,disordered__disordered__crystalline,disordered__disordered__crystalline,False,True,True,True,False,True,True,True,True
1143,,,disordered__disordered__crystalline,disordered__disordered__crystalline,False,True,True,True,False,False,True,True,True
1381,,,unidentified,unidentified,False,False,False,False,False,False,False,False,False
1236,,,unidentified,unidentified,False,False,False,False,False,False,False,False,False
1806,,,unidentified,unidentified,False,False,False,False,False,False,False,False,False
